,Surah_Number,Place_of_Revelation,Order_of_Revelation,Pre_Bismillah,Name(simple),Name(complex),Name(Arabic),Verse_Count,Pages,Translated_Name(English),Start_Page_Number,End_Page_Number
0,1,Makkah,5,False,Al-Fatihah,Al-Fātiĥah,الفاتحة,7,"[1, 1]",The Opener,1,1
1,2,Madinah,87,True,Al-Baqarah,Al-Baqarah,البقرة,286,"[2, 49]",The Cow,2,49
2,3,Madinah,89,True,Ali 'Imran,Āli `Imrān,آل عمران,200,"[50, 76]",Family of Imran,50,76
3,4,Madinah,92,True,An-Nisa,An-Nisā,النساء,176,"[77, 106]",The Women,77,106
4,5,Madinah,112,True,Al-Ma'idah,Al-Mā'idah,المائدة,120,"[106, 127]",The Table Spread,106,127
5,6,Makkah,55,True,Al-An'am,Al-'An`ām,الأنعام,165,"[128, 150]",The Cattle,128,150
6,7,Makkah,39,True,Al-A'raf,Al-'A`rāf,الأعراف,206,"[151, 176]",The Heights,151,176
7,8,Madinah,88,True,Al-Anfal,Al-'Anfāl,الأنفال,75,"[177, 186]",The Spoils of War,177,186
8,9,Madinah,113,False,At-Tawbah,At-Tawbah,التوبة,129,"[187, 207]",The Repentance,187,207
9,10,Makkah,51,True,Yunus,Yūnus,يونس,109,"[208, 221]",Jonah,208,221
10,11,Makkah,52,True,Hud,Hūd,هود,123,"[221, 235]",Hud,221,235
11,12,Makkah,53,True,Yusuf,Yūsuf,يوسف,111,"[235, 248]",Joseph,235,248
12,13,Madinah,96,True,Ar-Ra'd,Ar-Ra`d,الرعد,43,"[249, 255]",The Thunder,249,255
13,14,Makkah,72,True,Ibrahim,Ibrāhīm,ابراهيم,52,"[255, 261]",Abraham,255,261
14,15,Makkah,54,True,Al-Hijr,Al-Ĥijr,الحجر,99,"[262, 267]",The Rocky Tract,262,267
15,16,Makkah,70,True,An-Nahl,An-Naĥl,النحل,128,"[267, 281]",The Bee,267,281
16,17,Makkah,50,True,Al-Isra,Al-'Isrā,الإسراء,111,"[282, 293]",The Night Journey,282,293
17,18,Makkah,69,True,Al-Kahf,Al-Kahf,الكهف,110,"[293, 304]",The Cave,293,304
18,19,Makkah,44,True,Maryam,Maryam,مريم,98,"[305, 312]",Mary,305,312
19,20,Makkah,45,True,Taha,Ţāhā,طه,135,"[312, 321]",Ta-Ha,312,321
20,21,Makkah,73,True,Al-Anbya,Al-'Anbyā,الأنبياء,112,"[322, 331]",The Prophets,322,331
21,22,Madinah,103,True,Al-Hajj,Al-Ĥajj,الحج,78,"[332, 341]",The Pilgrimage,332,341
22,23,Makkah,74,True,Al-Mu'minun,Al-Mu'minūn,المؤمنون,118,"[342, 349]",The Believers,342,349
23,24,Madinah,102,True,An-Nur,An-Nūr,النور,64,"[350, 359]",The Light,350,359
24,25,Makkah,42,True,Al-Furqan,Al-Furqān,الفرقان,77,"[359, 366]",The Criterion,359,366
25,26,Makkah,47,True,Ash-Shu'ara,Ash-Shu`arā,الشعراء,227,"[367, 376]",The Poets,367,376
26,27,Makkah,48,True,An-Naml,An-Naml,النمل,93,"[377, 385]",The Ant,377,385
27,28,Makkah,49,True,Al-Qasas,Al-Qaşaş,القصص,88,"[385, 396]",The Stories,385,396
28,29,Makkah,85,True,Al-'Ankabut,Al-`Ankabūt,العنكبوت,69,"[396, 404]",The Spider,396,404
29,30,Makkah,84,True,Ar-Rum,Ar-Rūm,الروم,60,"[404, 410]",The Romans,404,410
30,31,Makkah,57,True,Luqman,Luqmān,لقمان,34,"[411, 414]",Luqman,411,414
31,32,Makkah,75,True,As-Sajdah,As-Sajdah,السجدة,30,"[415, 417]",The Prostration,415,417
32,33,Madinah,90,True,Al-Ahzab,Al-'Aĥzāb,الأحزاب,73,"[418, 427]",The Combined Forces,418,427
33,34,Makkah,58,True,Saba,Saba,سبإ,54,"[428, 434]",Sheba,428,434
34,35,Makkah,43,True,Fatir,Fāţir,فاطر,45,"[434, 440]",Originator,434,440
35,36,Makkah,41,True,Ya-Sin,Yā-Sīn,يس,83,"[440, 445]",Ya Sin,440,445
36,37,Makkah,56,True,As-Saffat,Aş-Şāffāt,الصافات,182,"[446, 452]",Those who set the Ranks,446,452
37,38,Makkah,38,True,Sad,Şād,ص,88,"[453, 458]","The Letter ""Saad""",453,458
38,39,Makkah,59,True,Az-Zumar,Az-Zumar,الزمر,75,"[458, 467]",The Troops,458,467
39,40,Makkah,60,True,Ghafir,Ghāfir,غافر,85,"[467, 476]",The Forgiver,467,476
40,41,Makkah,61,True,Fussilat,Fuşşilat,فصلت,54,"[477, 482]",Explained in Detail,477,482
41,42,Makkah,62,True,Ash-Shuraa,Ash-Shūraá,الشورى,53,"[483, 489]",The Consultation,483,489
42,43,Makkah,63,True,Az-Zukhruf,Az-Zukhruf,الزخرف,89,"[489, 495]",The Ornaments of Gold,489,495
43,44,Makkah,64,True,Ad-Dukhan,Ad-Dukhān,الدخان,59,"[496, 498]",The Smoke,496,498
44,45,Makkah,65,True,Al-Jathiyah,Al-Jāthiyah,الجاثية,37,"[499, 502]",The Crouching,499,502
45,46,Makkah,66,True,Al-Ahqaf,Al-'Aĥqāf,الأحقاف,35,"[502, 506]",The Wind-Curved Sandhills,502,506
46,47,Madinah,95,True,Muhammad,Muĥammad,محمد,38,"[507, 510]",Muhammad,507,510
47,48,Madinah,111,True,Al-Fath,Al-Fatĥ,الفتح,29,"[511, 515]",The Victory,511,515
48,49,Madinah,106,True,Al-Hujurat,Al-Ĥujurāt,الحجرات,18,"[515, 517]",The Rooms,515,517
49,50,Makkah,34,True,Qaf,Qāf,ق,45,"[518, 520]","The Letter ""Qaf""",518,520
50,51,Makkah,67,True,Adh-Dhariyat,Adh-Dhāriyāt,الذاريات,60,"[520, 523]",The Winnowing Winds,520,523
51,52,Makkah,76,True,At-Tur,Aţ-Ţūr,الطور,49,"[523, 525]",The Mount,523,525
52,53,Makkah,23,True,An-Najm,An-Najm,النجم,62,"[526, 528]",The Star,526,528
